
 Lista de Imóveis da Caixa;;Data de geração:;03/10/2025;;;;;;;
 1444408618330 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNQ 4, N. S/N, CJ 11 LT 08 ;164.427,09;258.000,00;36.27;Casa, 0.00 de área total, 105.15 de área privativa, 126.00 de área do terreno,  2 qto(s), a.serv, WC, WC Emp, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408618330
 1444415335879 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNO 12, N. SN, Apto 806, QNO12IRESIDENCIAL PALMERAS-AE- C,D, ;210.772,97;330.720,61;36.27;Apartamento, 126.31 de área total, 60.24 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415335879
 8444408566010 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNQ 6, N. SN, BL 05  LT 01 ;182.909,20;287.000,00;36.27;Casa, 135.52 de área total, 135.52 de área privativa, 142.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408566010
 1444413139584 ;DF ;CEILANDIA ;CEILANDIA SUL ;QNP 26, N. SN, CJ E LT25 ;272.000,00;272.000,00;0.00;Casa, 107.77 de área total, 107.77 de área privativa, 135.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413139584
 1444414801876 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNN 23, N. SN, CJ M LT 10 ;394.000,00;394.000,00;0.00;Casa, 197.45 de área total, 197.45 de área privativa, 250.00 de área do terreno,  5 qto(s), a.serv, WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444414801876
 1444419704119 ;DF ;CEILANDIA ;CEILANDIA SUL ;QNN 24, N. SN, CJ P LT 21 ;409.068,31;312.300,00;0.00;Casa, 120.00 de área total, 120.00 de área privativa, 144.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419704119
 8787711819762 ;DF ;GAMA ;SETOR MEIRELES ;AVENIDA MONUMENTAL, N. SN, Apto 401, BL11,LOT 13,RES PORTO PILAR,RA-XIII ;135.060,16;168.000,00;19.61;Apartamento, 0.00 de área total, 45.11 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711819762
 8555535082340 ;DF ;GAMA ;SETOR MEIRELES ;RUA 300, N. S/N, Apto 104, BLN LT302 RES PORTO PILAR STA M.RA-XII ;335.095,29;335.095,29;0.00;Apartamento, 265.18 de área total, 158.77 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535082340
 1444404043766 ;DF ;GAMA ;SETOR OESTE ;QUADRA 12, N. SN, LT 50 QD 12 ;525.556,35;430.000,00;0.00;Casa, 150.00 de área total, 150.00 de área privativa, 275.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404043766
 1444403228274 ;DF ;GUARA ;SRIA-GUARA ;QE 17, N. S/N, CS7, CONJ H QE-17 ;1.184.869,02;775.000,00;0.00;Casa, 134.09 de área total, 50.09 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403228274
 1555502035727 ;DF ;NUCLEO BANDEIRANTE ;NUCLEO BANDEIRANTE ;AVENIDA CENTRAL, N. S/N, Apto 101, LT1365 ;118.895,79;180.000,00;33.95;Apartamento, 55.57 de área total, 51.20 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555502035727
 1444407024622 ;DF ;NUCLEO BANDEIRANTE ;NUCLEO BANDEIRANTE ;AV NUCLEO BANDEIRANTES, N. SN, Apto 102B, LOTE 1450 SETOR 3 ;269.000,00;269.000,00;0.00;Apartamento, 66.77 de área total, 50.64 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407024622
 1444418945465 ;DF ;RECANTO DAS EMAS ;RECANTO DAS EMAS ;LT 29, N. SN, QD 804 ;219.873,43;345.000,00;36.27;Casa, 0.00 de área total, 112.50 de área privativa, 112.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418945465
 1444401390937 ;DF ;RECANTO DAS EMAS ;RECANTO DAS EMAS ;QUADRA 803, N. SN, LT 28 CJ 11 ;169.946,24;169.946,24;0.00;Casa, 85.90 de área total, 85.90 de área privativa, 112.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401390937
 8444422218767 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QN 312, N. SN, Apto 706, LT 07, CJ 06 ;140.990,82;224.000,00;37.06;Apartamento, 0.00 de área total, 29.45 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422218767
 1444418301401 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QR 319, N. SN, QR 319 LT 23 CJ 02 ;162.515,15;255.000,00;36.27;Casa, 0.00 de área total, 119.50 de área privativa, 126.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418301401
 1444414960311 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QR 429, N. SN, LT 07 CONJ 21 ;232.619,72;365.000,00;36.27;Casa, 0.00 de área total, 168.00 de área privativa, 112.50 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444414960311
 1444418802907 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QR 433, N. SN, LT 13 CJ 02 ;184.821,15;290.000,00;36.27;Casa, 0.00 de área total, 62.63 de área privativa, 112.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418802907
 1555533182926 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QS 421, N. SN, Apto 9, LT 01 E 02 CJ B ;190.556,98;299.000,00;36.27;Apartamento, 0.00 de área total, 63.69 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555533182926
 8787700482834 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QR 310, N. -, Apto 207, LT03 CONJ 5-A QD QR310 ;195.032,58;242.000,00;19.41;Apartamento, 0.00 de área total, 50.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700482834
 8555525554788 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QN 303, N. SN, Apto 102, LT01 CJ11 ;236.441,84;236.441,84;0.00;Apartamento, 93.07 de área total, 50.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555525554788
 8555527430830 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QS 601, N. SN, Apto 103, BL B LT 01 CJ 1 QD 601 VG 82 ;206.000,00;206.000,00;0.00;Apartamento, 77.08 de área total, 44.80 de área privativa, 0.00 de área do terreno,  2 qto(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555527430830
 8787703136821 ;DF ;SAMAMBAIA ;SAMAMBAIA ;CONJ 3 QN 509, N. SN, Apto 307, LT 2 3 4 5 6 7 8 9 10 11 12 ;154.000,00;154.000,00;0.00;Apartamento, 39.21 de área total, 32.00 de área privativa, 0.00 de área do terreno,  1 qto(s).;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703136821
 1444415954641 ;DF ;SANTA MARIA ;RESIDENCIAL SANTOS DUMONT ;QD 22, N. SN, LT 16 ;745.000,00;745.000,00;0.00;Casa, 288.00 de área total, 160.00 de área privativa, 250.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415954641
 1444405915384 ;DF ;SOBRADINHO ;SOBRADINHO ;QUADRA 17, N. SN, LOTE 62, CONJUNTO A ;497.105,15;780.000,00;36.27;Casa, 0.00 de área total, 236.77 de área privativa, 525.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405915384
 8444414395450 ;DF ;TAGUATINGA ;TAGUATINGA CENTRO ;QUADRA C-12, N. SN, Apto 204, LTS 1 E 2, BL G ;138.617,95;231.029,91;40.00;Apartamento, 68.24 de área total, 56.22 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414395450
 1555522592052 ;DF ;TAGUATINGA ;SETOR INDUSTRIAL ;QUADRA QI 24, N. SN, Apto 1908, TORRE D LT 14 A 27 VG 250 E 251 ;404.439,65;634.600,00;36.27;Apartamento, 0.00 de área total, 103.37 de área privativa, 0.00 de área do terreno, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555522592052
 1444403056660 ;DF ;TAGUATINGA ;TAGUATINGA NORTE ;CNC 3, N. SN, Apto 301, LT 10, TERCEIRA AVENIDA MERCADO ;179.722,63;282.000,00;36.27;Apartamento, 0.00 de área total, 71.60 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403056660
 1600000047256 ;DF ;TAGUATINGA ;NORTE (AGUAS CLARAS) ;QUADRA 107, N. SN, Apto 101, VG 96,VG 96A,VG 75, BL 2, QD 107 ;1.277.815,17;2.005.000,00;36.27;Apartamento, 526.55 de área total, 280.31 de área privativa, 0.00 de área do terreno,  4 qto(s), a.serv, WC, WC Emp, 1 sala(s), 1 lavabo(s), DCE, cozinha, 3 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1600000047256
 8444401071783 ;DF ;TAGUATINGA ;TAGUATINGA ;CSE 5, N. 11, Apto 401, LT11 ;176.545,69;176.545,69;0.00;Apartamento, 47.45 de área total, 44.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401071783
 1555517992005 ;DF ;TAGUATINGA ;SETOR INDUSTRIAL ;QI 24, N. SN, Apto 405, VG 545 TORRE A LT14 A 27 ;332.000,00;332.000,00;0.00;Apartamento, 83.40 de área total, 51.55 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555517992005
 1444418304656 ;DF ;TAGUATINGA ;TAGUATINGA SUL ;QSD 6, N. SN, LT 26 ;918.953,26;918.953,26;0.00;Casa, 225.23 de área total, 225.23 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418304656
 1444410800620 ;DF ;TAGUATINGA ;NORTE (AGUAS CLARAS) ;RUA MANACA E LT 04, RUA 3, N. SN, Apto 604, TORRE A, LT 03 ;583.000,00;583.000,00;0.00;Apartamento, 0.00 de área total, 58.43 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444410800620
 1444400845302 ;DF ;TAGUATINGA ;TAGUATINGA NORTE ;QNL 8, N. SN, Apto 221, BL D PROJEÇÃO 04 ;208.324,50;197.000,00;0.00;Apartamento, 63.37 de área total, 42.86 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400845302
 1444413345451 ;DF ;TAGUATINGA ;TAGUATINGA NORTE ;QNA 8, N. 10, QD 08 LT 10 ;1.253.783,79;1.092.682,15;0.00;Casa, 335.46 de área total, 335.46 de área privativa, 300.00 de área do terreno,  4 qto(s), a.serv, WC, WC Emp, 1 sala(s), DCE, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413345451
 1555533481435 ;DF ;TAGUATINGA ;SETOR INDUSTRIAL ;QI 24, N. SN, Apto 1810, LT 14 A 27 QD 24 TORRE F ;373.060,44;313.000,00;0.00;Apartamento, 85.12 de área total, 50.52 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555533481435
 1444410496998 ;DF ;TAGUATINGA ;TAGUATINGA SUL ;CSB 03, N. SN, Apto 201, LTS 2 E 6 ;360.882,80;271.169,49;0.00;Apartamento, 84.96 de área total, 61.58 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444410496998
